LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C511310,MCP73871T-2CCI/ML,Microchip Tech,10,QFN-20-EP(4x4),6V Lithium-ion/Polymer 1 1A QFN-20-EP(4x4) Battery Management ROHS,YES,10,1\1,1.2091,12.09
C1779,CL21A475KAQNNNE,Samsung Electro-Mechanics,MISSING,0805,25V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,20\20,0.0086,17.20
C60420,STM32F411CEU6,STMicroelectronics,10,UFQFPN-48(7x7),ARM-M4 100MHz UFQFPN-48(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,YES,10,1\1,2.6935,26.94
C15127,AO3401A,Alpha & Omega Semicon,GC_CONTROLLER,SOT-23,"30V 4A 44mΩ@10V,4.3A 1.4W 1.3V@250uA 1 Piece P-Channel SOT-23 MOSFETs ROHS",YES,50,10\10,0.057,2.85
C2982474,GT-USB-7038A,G-Switch,GC_CONTROLLER,Plugin,5A USB 2.0 1 Direct Insert 12P Mother -40℃~+85℃ Type-C Plugin USB Connectors ROHS,YES,5,1\1,0.4232,2.12
C14665,CC0603JRNPO9BN101,YAGEO,COMMON_PARTS,0603,50V 100pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.0016,6.40
C609780,XL74HC165,XINLUDA,GRIDFINITY,SOP-16,SOP-16 Shift Registers ROHS,YES,50,5\5,0.1338,6.69
C284104,NUP2105L,DOWO,MISSING_CURRENT,SOT-23,8A 450W 43V 26.7V Bidirectional 24V SOT-23 ESD and Surge Protection (TVS/ESD) ROHS,YES,100,10\10,0.0367,3.67
C2969777,STM32F103C8T6TR,STMicroelectronics,MISSING,LQFP-48(7x7),ARM-M3 72MHz LQFP-48(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,YES,10,1\1,1.5814,15.81
C8545,2N7002,"Jiangsu Changjing Electronics Technology Co., Ltd.",MISSING,SOT-23,60V 115mA 225mW 5Ω@10V 2.5V@250uA 1 N-channel SOT-23 MOSFETs ROHS,YES,500,50\50,0.0121,6.05
C2930298,FRC0805J562TS,FOJAN,MISSING_FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 5.6kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,4300,100\100,0.001,4.30
C2933549,FRC0805J393 TS,FOJAN,MISSING_FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 39kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0007,3.50
C4943297,KH-1.27PH180-2X5P-L7.2-SMT,Shenzhen Kinghelm Elec,MISSING_FEEDER,"SMD,P=1.27mm","10P 1.27mm Double Row 2x5P SMD,P=1.27mm Pin Headers ROHS",YES,100,5\5,0.0601,6.01
C3016224,SCR0603F56R,VO,CURRENT_LIMITER,0603,100mW Thick Film Resistors 75V ±1% 56Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C2998136,FRC0603F7150TS,FOJAN,CURRENT_LIMITER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 715Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C136331,JFC0603-1200FS,Shenzhen JDT Fuse,GC_CONTROLLER,0603,50A SMD Fuse 2A 32V 32V 0603 Disposable fuses ROHS,YES,100,10\10,0.0404,4.04
C2907114,FRC0603J512 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 5.1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C15742,STM32F405RGT6,STMicroelectronics,GC_CONTROLLER,LQFP-64(10x10),ARM-M4 168MHz LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS,YES,5,1\1,4.8985,24.49
C15402,0603WAJ0000T5E,UNI-ROYAL(Uniroyal Elec),GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±5% ±800ppm/℃ 0Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,GC_CONTROLLER,0402,10V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,5000,100\100,0.0013,6.50
C2907083,FRC0603J152 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 1.5kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C2907088,FRC0603J104 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 100kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C2918506,CS3225X5R226K160NRL,Samwha Capacitor,GC_CONTROLLER,1210,16V 22uF X5R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,10\10,0.0381,7.62
C865399,RT0805BRD0731K2L,YAGEO,GC_CONTROLLER,0805,125mW Thin Film Resistor ±25ppm/℃ ±0.1% 31.2kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,200,20\20,0.0315,6.30
C2906877,FRC0402P000 TS,FOJAN,GC_CONTROLLER,0402,62.5mW Thick Film Resistors 50V ±5% 0Ω 0402 Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.0003,3.00
C2930027,FRC0603J103TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 10kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C23630,CL10A225KO8NNNC,Samsung Electro-Mechanics,GC_CONTROLLER,0603,16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.0052,5.20
C19110,CL21B225KAFNNNE,Samsung Electro-Mechanics,GC_CONTROLLER,0805,25V 2.2uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,10\10,0.0108,10.80
C2907166,FRC0603J472 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 4.7kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,GC_CONTROLLER,0603,10V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,50\50,0.0044,4.40
C5250737,MAX3232CDR,Tokmas,GC_CONTROLLER,SOP-16,250Kbps Transceiver SOP-16 RS232 ICs ROHS,YES,20,1\1,0.323,6.46
C64885,B5819W,MDD（Microdiode Electronics）,GC_CONTROLLER,SOD-123,40V Independent Type 900mV@3A 1A SOD-123 Schottky Diodes ROHS,YES,200,50\50,0.0105,2.10
C282519,TCC0603X7R104K500CT,CCTC,GC_CONTROLLER,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.0013,5.20
C2907196,FRC0603J683 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 68kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C5353,EL817(B)-F,Everlight Elec,GC_CONTROLLER,DIP-4,"35V 5kV 50mA 100mV@1mA,20mA 1 6V 1.2V DC DIP-4 Transistor, Photovoltaic Output Optoisolators ROHS",YES,100,20\20,0.0302,3.02
C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,GC_CONTROLLER,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.0017,6.80
C103256,RTT03121JTP,RALEC,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 120Ω 0603 Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.0004,4.00
C2959845,TPMP2359DJ,TECH PUBLIC,GC_CONTROLLER,SOT-23-6,Step-down type 4V~30V 1.2A SOT-23-6 DC-DC Converters ROHS,YES,25,5\5,0.3543,8.86
C5189748,CYA0630-4.7UH,SHOU HAN,GC_CONTROLLER,"SMD,7.2x6.6mm","5A 4.7uH ±20% 34.5mΩ SMD,7.2x6.6mm Inductors (SMD) ROHS",YES,20,5\5,0.1084,2.17
C12084,SN65HVD230DR,Texas Instruments,COMMON PARTS,SOIC-8,1Mbps CANtransceiver SOIC-8 CAN Transceivers ROHS,YES,20,1\1,0.5362,10.72
C7496523,JSM6207,JSMSEMI,GRIDFINITY,SOT-23,SOT-23 Hall Switches ROHS,YES,100,5\5,0.0728,7.28
